Sub-Category,Sales,Total Orders,Average Order Value,Growth Rate,Volatility,Cluster,Cluster Name
Accessories,164186.7,756,217.17817460317463,0.37638071385980304,2579.99480907113,2,Low Volume High Volatility
Appliances,104618.403,459,227.92680392156865,0.39927584181977216,1821.6215390281989,1,Growing Demand
Art,26705.41,785,34.019630573248406,0.16605553026749922,330.4883427284576,1,Growing Demand
Binders,200028.785,1492,134.0675502680965,0.2187360669860654,3848.2236478754908,2,Low Volume High Volatility
Bookcases,113813.1987,226,503.5982243362832,0.23806516259103613,2220.4050797251753,1,Growing Demand
Chairs,322822.73099999997,607,531.8331647446457,0.07135789951209726,4407.232959811409,2,Low Volume High Volatility
Copiers,146248.094,66,2215.8802121212125,0.846718189338513,5500.774390527093,0,High Volume Stable Demand
Envelopes,16128.046,248,65.03244354838709,-0.027666432997654145,228.21868781596007,1,Growing Demand
Fasteners,3001.96,214,14.02785046728972,0.15703382899686266,48.74222863268981,1,Growing Demand
Furnishings,89212.018,931,95.82386466165413,0.2878893806111394,1360.0178672616057,1,Growing Demand
Labels,12347.726,357,34.587467787114846,0.12192650684234545,223.47121839221342,1,Growing Demand
Machines,189238.631,115,1645.5533130434783,0.08006000579367449,5603.554746739796,0,High Volume Stable Demand
Paper,76828.304,1338,57.42025710014948,0.2541307360390605,1024.8249818349852,1,Growing Demand
Phones,327782.448,876,374.1808767123287,0.12340878459166034,4052.718220520821,2,Low Volume High Volatility
Storage,219343.392,832,263.6338846153846,0.13179873437023967,2822.0843101166624,2,Low Volume High Volatility
Supplies,46420.308,184,252.28428260869563,1.9284484275895373,2025.0941389159009,3,Declining Demand
Tables,202810.628,314,645.8937197452229,0.16410685246324877,3224.082504460717,2,Low Volume High Volatility
